PPG (1000 Hz),ABP (125 Hz),RESP (125 Hz)
2280.52,125.79,-7.99
2289.47,121.43,-8.88
2307.35,115.21,-8.21
2307.35,104.81,-9.00
2334.18,102.50,-8.12
2280.52,90.94,-9.89
2280.52,98.61,-9.56
2316.30,81.11,-10.35
2307.35,90.59,-9.24
2316.30,76.95,-10.34
2307.35,90.15,-9.13
2334.18,73.34,-10.97
2289.47,88.90,-7.99
2280.52,68.14,-10.99
2343.13,83.85,-6.65
2316.30,59.83,-9.26
2289.47,78.04,-6.61
2325.24,57.18,-9.76
2369.96,78.80,-6.44
2316.30,64.18,-9.94
2307.35,75.62,-6.93
2334.18,64.90,-8.78
2289.47,74.32,-7.53
2378.90,70.21,-8.57
2325.24,75.42,-8.03
2316.30,74.19,-7.92
2361.01,73.67,-8.59
2316.30,78.46,-7.33
2334.18,69.59,-8.21
2298.41,77.05,-7.13
2343.13,67.21,-9.02
2361.01,76.16,-8.79
2325.24,63.77,-9.86
2387.84,75.93,-7.74
2361.01,60.14,-11.14
2352.07,77.40,-7.78
2334.18,61.48,-11.01
2369.96,78.58,-7.97
2352.07,57.44,-9.65
2325.24,77.18,-7.59
2343.13,56.01,-10.58
2369.96,71.00,-7.83
2369.96,53.09,-9.59
2396.79,74.00,-7.31
2396.79,59.21,-8.33
2396.79,70.60,-7.90
2334.18,56.73,-7.95
2369.96,66.97,-7.55
2361.01,60.26,-9.16
2369.96,67.98,-8.95
2369.96,60.93,-9.64
2325.24,63.47,-8.43
2423.62,61.66,-9.57
2405.73,60.17,-10.44
2369.96,63.17,-8.92
2378.90,64.87,-11.91
2378.90,77.03,-9.03
2325.24,80.02,-10.42
2396.79,103.29,-10.38
2334.18,96.50,-13.03
2414.67,121.79,-10.38
2414.67,115.19,-12.82
2378.90,140.78,-10.16
2361.01,120.39,-11.31
2387.84,144.22,-10.81
2334.18,117.92,-12.59
2405.73,130.13,-10.60
2387.84,106.49,-11.20
2369.96,116.03,-9.69
2343.13,94.51,-11.32
2378.90,107.03,-9.29
2325.24,94.07,-11.09
2441.50,99.18,-7.94
2387.84,87.17,-9.49
2352.07,91.57,-9.39
2378.90,90.13,-8.03
2361.01,86.08,-8.02
2387.84,87.39,-7.58
2414.67,79.18,-7.65
2352.07,81.86,-6.29
2361.01,74.23,-8.10
2387.84,80.28,-7.03
2387.84,69.21,-8.54
2361.01,80.54,-6.49
2334.18,64.51,-8.11
2378.90,81.75,-5.53
2334.18,66.33,-7.35
2387.84,87.66,-5.38
2343.13,70.45,-7.17
2378.90,89.77,-5.31
2352.07,69.54,-8.39
2316.30,88.22,-5.05
2378.90,66.48,-7.54
2334.18,87.32,-5.23
2396.79,64.07,-7.92
2369.96,79.25,-5.20
2316.30,71.15,-7.38
2343.13,76.52,-6.42
2387.84,67.36,-6.84
2361.01,76.27,-6.81
2369.96,71.89,-5.27
2334.18,72.10,-5.58
2414.67,71.93,-5.15
2361.01,68.40,-3.69
2343.13,72.84,-4.08
2352.07,62.32,-6.62
2352.07,75.21,-3.31
2369.96,58.94,-4.02
2316.30,71.38,-4.60
2343.13,59.19,-4.98
2325.24,74.33,-3.56
2343.13,54.49,-5.81
2387.84,70.18,-2.93
2369.96,52.76,-6.03
2352.07,71.80,-2.86
2369.96,57.72,-4.34
2334.18,73.93,-2.32
2369.96,58.08,-3.35
2334.18,69.94,-1.18
2343.13,61.66,-4.44
2298.41,82.20,-0.48
2325.24,73.62,-3.39
2369.96,97.23,-1.69
2343.13,103.11,-3.09
2325.24,119.83,-1.09
2325.24,124.09,-1.42
2325.24,133.08,-0.75
2307.35,134.00,-0.49
2307.35,129.39,-1.27
2334.18,129.63,0.23
2307.35,121.80,-1.77
2307.35,126.11,-0.72
2307.35,109.01,-0.60
2352.07,115.58,0.74
2387.84,97.91,-1.62
2352.07,112.37,1.13
2361.01,89.54,-0.15
2298.41,105.40,2.05
2334.18,91.44,-2.44
2307.35,102.24,1.12
2316.30,84.70,-1.64
2334.18,94.37,1.95
2343.13,80.83,-0.51
2343.13,90.43,2.31
2325.24,74.44,0.03
2298.41,82.80,1.85
2298.41,71.55,0.83
2307.35,78.96,0.93
2298.41,69.61,1.66
2307.35,77.35,1.10
2352.07,73.96,0.65
2325.24,81.00,2.55
2334.18,79.09,2.39
2307.35,77.91,1.89
2280.52,81.05,3.09
2334.18,76.39,1.72
2253.69,82.07,4.41
2307.35,72.95,3.48
2307.35,86.35,5.68
2316.30,66.41,4.97
2280.52,85.19,8.04
2316.30,67.95,4.94
2298.41,83.60,9.64
2307.35,62.57,6.15
2289.47,84.28,10.78
2334.18,63.20,8.13
2352.07,78.32,10.87
2298.41,64.29,8.36
2298.41,75.72,10.94
2289.47,63.98,10.60
2289.47,73.86,11.16
2271.58,65.39,12.06
2280.52,69.09,12.38
2298.41,68.45,12.86
2271.58,66.46,12.97
2307.35,68.68,10.78
2298.41,65.78,11.00
2307.35,64.46,11.90
2343.13,63.33,10.77
2289.47,68.74,12.13
2352.07,58.65,12.16
2361.01,68.64,11.59
2244.75,57.42,9.76
2325.24,73.23,11.77
2280.52,63.92,11.03
2369.96,81.63,11.39
2271.58,73.44,9.03
2325.24,97.52,10.97
2289.47,94.15,7.94
2325.24,118.08,10.73
2280.52,106.31,8.89
2352.07,137.66,11.70
2325.24,121.44,7.63
2316.30,141.25,9.76
2316.30,120.95,7.72
2271.58,126.31,9.19
2262.64,110.15,7.77
2298.41,112.20,9.88
2325.24,105.69,9.68
2298.41,104.06,8.69
2298.41,97.55,7.83
2361.01,99.20,8.87
2280.52,94.60,7.74
2271.58,90.81,7.02
2334.18,92.62,7.88
2271.58,82.07,6.69
2271.58,89.66,7.98
2334.18,77.14,5.66
2352.07,84.82,9.20
2325.24,68.52,6.90
2289.47,81.52,9.31
2289.47,62.58,5.08
2280.52,82.34,8.04
2325.24,61.75,4.95
2316.30,80.11,7.60
2253.69,63.38,5.26
2316.30,80.67,7.78
2271.58,65.53,4.75
2280.52,84.19,6.49
2280.52,69.35,3.57
2298.41,77.52,4.45
2289.47,68.68,5.02
2325.24,77.74,4.63
2307.35,70.20,3.77
2334.18,73.86,3.87
2289.47,68.34,2.02
2262.64,70.45,3.30
2262.64,69.21,3.10
2334.18,69.13,0.67
2325.24,74.27,1.95
2307.35,62.09,-0.67
2316.30,70.67,-0.07
2280.52,57.22,0.02
2352.07,75.12,-0.52
2307.35,59.41,-3.50
2307.35,70.30,0.06
2271.58,58.58,-3.85
2334.18,72.34,-2.32
2369.96,50.63,-4.52
2298.41,72.73,-4.14
2352.07,53.71,-7.22
2325.24,69.89,-4.46
2280.52,53.67,-9.34
2271.58,65.75,-6.29
2289.47,56.21,-8.88
2307.35,66.69,-7.65
2298.41,54.37,-9.63
2325.24,64.77,-7.69
2325.24,57.09,-9.08
2316.30,67.83,-8.58
2307.35,64.97,-9.52
2378.90,75.39,-8.60
2334.18,85.26,-7.78
2352.07,92.49,-8.32
2325.24,107.82,-7.30
2343.13,107.70,-8.95
2325.24,127.56,-6.50
2316.30,126.09,-8.15
2298.41,134.82,-6.80
2298.41,118.95,-8.60
2343.13,129.44,-4.63
2298.41,104.75,-9.12
2387.84,119.96,-4.86
2352.07,96.53,-7.30
2325.24,110.46,-4.35
2325.24,86.59,-7.58
2343.13,99.06,-4.88
2298.41,80.24,-6.83
2316.30,89.80,-6.05
2352.07,82.08,-8.20
2280.52,89.16,-7.35
2316.30,76.51,-10.15
2307.35,80.81,-7.08
2334.18,72.60,-9.25
2334.18,78.97,-8.89
2325.24,75.40,-8.10
2352.07,72.52,-9.54
2352.07,71.33,-9.26
2343.13,64.60,-11.05
2325.24,69.87,-11.21
2369.96,69.56,-11.73
2352.07,76.94,-12.45
2361.01,69.56,-13.98
2325.24,82.29,-12.32
2369.96,66.90,-15.04
2387.84,81.23,-12.20
2361.01,66.20,-13.00
2405.73,84.30,-12.69
2369.96,66.32,-15.29
2369.96,86.47,-10.75
2387.84,62.29,-15.49
2369.96,80.98,-11.31
2325.24,61.56,-13.05
2316.30,77.55,-9.95
2405.73,65.31,-13.23
2325.24,74.32,-9.10
2352.07,65.25,-11.32
2414.67,73.48,-9.52
2343.13,64.68,-11.75
2405.73,66.88,-8.41
2414.67,64.82,-8.64
2405.73,62.42,-8.07
2361.01,70.55,-8.58
2414.67,64.56,-8.46
2396.79,69.74,-8.67
2369.96,61.32,-10.33
2396.79,69.25,-8.37
2405.73,57.46,-10.49
2352.07,73.38,-8.73
2378.90,54.44,-12.76
2387.84,69.60,-9.49
2334.18,58.90,-12.97
2387.84,74.07,-9.85
2352.07,55.58,-12.80
2369.96,74.05,-12.50
2352.07,61.14,-14.60
2343.13,83.62,-13.45
2369.96,80.97,-16.63
2352.07,108.06,-12.84
2369.96,102.63,-16.49
2334.18,124.40,-15.42
2352.07,124.25,-17.41
2352.07,135.36,-17.20
2369.96,129.54,-17.20
2334.18,135.42,-16.13
2352.07,122.34,-18.66
2325.24,122.43,-18.16
2307.35,118.74,-16.72
2352.07,106.37,-18.09
2378.90,107.86,-15.98
2387.84,96.94,-15.90
2396.79,104.29,-13.07
2405.73,91.36,-16.09
2423.62,98.80,-12.30
2352.07,82.58,-15.58
2361.01,99.03,-12.45
2414.67,79.11,-13.90
2369.96,92.81,-10.06
2387.84,73.78,-11.82
2378.90,90.32,-10.59
2441.50,69.91,-12.72
2343.13,85.36,-10.49
2378.90,67.19,-12.37
2432.56,80.07,-10.14
2361.01,70.47,-11.56
2343.13,78.15,-9.82
2378.90,70.85,-12.32
2378.90,81.71,-9.38
2361.01,74.50,-11.44
2396.79,84.07,-11.47
2369.96,77.67,-12.14
2396.79,79.87,-11.98
2378.90,86.17,-13.17
2405.73,70.44,-12.82
2298.41,81.68,-11.62
2405.73,74.51,-12.43
2396.79,78.49,-14.03
2387.84,68.07,-14.78
2405.73,80.23,-11.98
2387.84,62.82,-15.65
2396.79,79.50,-11.73
2378.90,64.96,-14.82
2405.73,80.10,-12.10
2387.84,61.25,-14.65
2378.90,81.44,-13.11
2414.67,59.08,-15.44
2396.79,73.93,-14.62
2361.01,56.69,-15.38
2396.79,75.89,-12.14
2414.67,59.72,-14.36
2378.90,67.04,-11.87
2414.67,61.17,-14.36
2405.73,70.05,-11.67
2378.90,65.10,-13.76
2414.67,69.38,-12.31
2343.13,62.33,-12.18
2378.90,63.90,-13.14
2405.73,68.03,-12.60
2361.01,62.43,-12.07
2343.13,73.78,-12.14
2396.79,69.20,-12.63
2378.90,86.85,-10.11
2378.90,87.26,-11.06
2423.62,111.33,-10.33
2405.73,108.21,-13.39
2369.96,134.21,-10.22
2423.62,123.06,-11.96
2450.45,145.00,-10.02
2396.79,123.00,-12.71
2468.33,139.17,-8.17
2378.90,114.33,-11.17
2378.90,128.38,-9.72
2414.67,106.47,-12.44
2405.73,116.94,-10.71
2414.67,97.33,-11.59
2387.84,110.44,-10.90
2405.73,95.41,-12.20
2432.56,100.73,-10.73
2432.56,89.55,-11.58
2369.96,96.77,-11.08
2396.79,92.48,-12.82
2432.56,89.82,-13.96
2387.84,87.28,-12.90
2459.39,82.80,-13.69
2361.01,83.40,-13.42
2387.84,73.96,-15.93
2378.90,81.62,-15.33
2396.79,69.03,-15.36
2405.73,80.20,-13.66
2361.01,66.16,-18.14
2405.73,84.47,-16.91
2334.18,65.92,-17.58
2414.67,87.45,-14.07
2378.90,69.51,-16.56
2405.73,90.54,-14.09
2396.79,70.71,-16.74
2369.96,91.07,-13.16
2369.96,70.45,-15.02
2423.62,90.64,-13.43
2441.50,69.99,-15.18
2352.07,83.09,-13.69
2369.96,68.50,-13.67
2405.73,75.49,-12.65
2387.84,68.62,-13.29
2450.45,74.29,-12.28
2387.84,70.93,-12.64
2378.90,71.73,-11.34
2378.90,74.13,-10.01
2369.96,66.44,-11.58
2414.67,75.14,-8.93
2369.96,62.69,-11.01
2352.07,72.68,-7.45
2459.39,59.22,-9.56
2405.73,75.71,-8.38
2361.01,58.13,-11.04
2396.79,78.84,-8.45
2441.50,56.05,-8.62
2405.73,77.21,-5.29
2369.96,56.33,-9.03
2361.01,71.48,-6.39
2423.62,51.02,-10.63
2441.50,69.02,-6.96
2432.56,54.97,-10.93
2405.73,71.17,-8.15
2423.62,60.91,-10.44
2405.73,79.89,-7.92
2387.84,74.43,-10.17
2405.73,88.54,-9.12
2432.56,94.89,-11.20
2387.84,109.96,-9.65
2369.96,120.13,-10.71
2378.90,127.88,-10.57
2396.79,131.90,-10.63
2361.01,127.06,-10.32
2369.96,131.05,-9.15
2414.67,119.60,-9.84
2396.79,122.38,-9.31
2378.90,103.42,-10.44
2387.84,112.47,-10.38
2352.07,96.09,-14.40
2405.73,103.68,-10.40
2334.18,88.04,-12.09
2352.07,104.95,-9.36
2378.90,81.38,-13.39
2396.79,100.97,-10.74
2405.73,77.65,-13.22
2396.79,96.09,-10.72
2432.56,78.52,-14.18
2361.01,88.02,-9.47
2414.67,71.77,-11.61
2387.84,81.44,-10.02
2405.73,68.86,-11.18
2423.62,71.84,-9.92
2369.96,66.90,-10.90
2378.90,75.66,-9.27
2361.01,65.70,-10.10
2334.18,69.85,-9.68
2387.84,72.45,-8.74
2441.50,70.42,-8.81
2414.67,79.97,-10.15
2316.30,68.08,-9.91
2396.79,79.07,-8.41
2414.67,65.34,-9.53
2369.96,78.43,-8.70
2361.01,65.72,-9.98
2387.84,80.60,-8.96
2378.90,66.35,-12.10
2378.90,80.31,-8.83
2316.30,59.62,-12.48
2369.96,77.82,-8.51
2405.73,56.89,-12.62
2405.73,71.26,-10.24
2414.67,59.62,-13.48
2369.96,74.13,-11.02
2316.30,56.42,-13.52
2378.90,69.15,-11.34
2387.84,58.77,-13.93
2432.56,69.55,-12.91
2432.56,57.47,-13.86
2387.84,68.21,-12.28
2387.84,60.52,-14.23
2387.84,59.86,-12.97
2432.56,60.26,-13.52
2369.96,58.87,-12.14
2423.62,62.58,-12.82
2369.96,56.70,-12.31
2414.67,66.75,-11.58
2396.79,53.80,-12.19
2396.79,65.05,-10.46
2423.62,52.96,-11.71
2405.73,75.58,-9.04
2361.01,61.30,-11.07
2441.50,88.58,-6.62
2432.56,85.00,-10.05
2325.24,111.65,-5.64
2369.96,101.79,-8.67
2414.67,130.33,-5.71
2387.84,118.44,-8.07
2369.96,137.76,-6.20
2343.13,121.31,-6.98
2396.79,131.73,-2.94
2369.96,111.00,-4.67
2405.73,116.18,-5.56
2369.96,103.96,-6.07
2325.24,104.00,-4.06
2369.96,94.99,-5.58
2352.07,92.08,-5.27
2396.79,91.58,-4.02
2361.01,86.12,-4.28
2343.13,92.96,-4.13
2361.01,79.02,-6.55
2369.96,88.96,-4.66
2369.96,72.89,-5.89
2405.73,85.18,-4.57
2369.96,65.47,-7.42
2396.79,80.28,-4.00
2334.18,60.29,-6.34
2343.13,77.90,-4.83
2378.90,59.42,-6.96
2352.07,75.48,-5.07
2325.24,61.39,-7.65
2361.01,78.61,-6.50
2369.96,62.35,-6.62
2361.01,82.03,-6.20
2369.96,66.70,-7.73
2361.01,83.31,-4.71
2316.30,70.77,-6.46
2369.96,82.18,-4.93
2343.13,70.18,-5.79
2378.90,77.85,-6.49
2361.01,73.72,-7.15
2387.84,72.51,-6.19
2387.84,72.19,-5.90
2387.84,68.52,-6.33
2352.07,72.32,-5.36
2369.96,63.12,-7.13
2361.01,74.05,-4.62
2378.90,60.97,-7.05
2369.96,73.06,-6.05
2369.96,60.12,-7.30
2369.96,75.13,-6.86
2352.07,58.14,-6.71
2352.07,74.94,-4.29
2387.84,60.24,-7.71
2387.84,75.39,-5.01
2396.79,53.75,-8.51
2361.01,76.63,-4.23
2378.90,54.74,-5.28
2343.13,73.34,-3.48
2378.90,57.33,-6.19
2352.07,72.80,-4.10
2378.90,62.01,-5.91
2405.73,69.11,-5.53
2378.90,61.46,-6.34
2307.35,73.08,-5.96
2325.24,69.71,-5.30
2343.13,81.94,-5.56
2352.07,87.08,-5.06
2334.18,90.21,-4.21
2352.07,110.10,-3.21
2352.07,112.73,-6.50
2334.18,132.63,-3.39
2369.96,125.28,-5.82
2369.96,136.91,-3.76
2352.07,122.83,-5.63
2396.79,132.79,-4.46
2378.90,113.24,-8.19
2361.01,123.70,-4.88
2343.13,100.54,-6.86
2307.35,111.75,-4.67
2361.01,92.63,-7.23
2369.96,104.21,-3.09
2343.13,89.90,-7.99
2325.24,101.74,-3.24
2352.07,87.67,-7.01
2361.01,96.04,-3.05
2361.01,84.18,-5.47
2361.01,90.84,-3.89
2343.13,78.76,-3.26
2352.07,88.09,-3.61
2352.07,80.59,-2.76
2361.01,77.50,-1.48
2361.01,79.03,-2.68
2325.24,75.78,-1.79
2378.90,84.66,-0.14
2352.07,73.65,-1.21
2369.96,83.46,1.00
2352.07,72.62,-0.34
2361.01,86.50,2.43
2378.90,73.75,1.28
2369.96,85.42,4.64
2289.47,73.34,1.16
2316.30,87.94,5.38
2307.35,63.67,4.05
2396.79,88.10,5.66
2352.07,65.97,2.91
2396.79,79.71,8.84
2316.30,62.58,5.72
2369.96,79.89,9.63
2316.30,64.65,7.44
2307.35,79.04,9.80
2343.13,67.99,7.71
2361.01,79.86,9.83
2343.13,68.24,8.69
2307.35,70.90,11.77
2369.96,67.98,11.59
2334.18,68.61,10.18
2307.35,68.44,12.11
2361.01,67.97,13.04
2361.01,72.75,13.48
2307.35,62.08,11.49
2325.24,70.72,13.69
2316.30,62.71,12.08
2352.07,73.58,14.00
2325.24,56.91,11.13
2325.24,75.91,13.96
2325.24,57.82,12.21
2316.30,75.30,15.19
2343.13,60.53,11.78
2316.30,77.19,15.20
2369.96,64.68,11.23
2334.18,88.78,14.44
2325.24,80.61,12.17
2352.07,113.65,15.49
2334.18,108.88,13.60
2307.35,133.21,15.85
2352.07,128.49,13.78
2325.24,141.85,16.15
2387.84,131.85,14.07
2352.07,135.28,15.29
2316.30,126.80,14.94
2352.07,122.44,15.21
2307.35,119.03,13.94
2325.24,107.15,14.38
2325.24,109.91,15.70
2343.13,99.65,12.75
2369.96,107.73,13.59
2325.24,95.57,13.24
2298.41,103.79,14.49
2289.47,90.36,12.06
2289.47,100.21,13.40
2307.35,80.58,11.48
2334.18,99.46,14.05
2298.41,78.70,9.82
2334.18,93.19,10.96
2352.07,69.41,10.15
2316.30,84.13,10.33
2316.30,66.98,9.38
2378.90,82.41,12.37
2334.18,66.65,6.82
2343.13,85.29,9.96
2361.01,74.11,7.89
2298.41,88.21,8.37
2325.24,73.92,6.75
2316.30,82.05,7.53
2325.24,80.72,9.24
2307.35,75.63,8.39
2316.30,79.11,8.33
2316.30,79.42,6.94
2334.18,78.44,7.70
2316.30,69.49,7.99
2289.47,79.00,8.84
2271.58,65.62,7.73
2334.18,83.15,8.26
2289.47,66.41,7.25
2280.52,80.21,9.79
2280.52,61.47,7.27
2289.47,77.25,10.00
2280.52,64.87,7.75
2352.07,79.89,9.97
2361.01,63.54,8.04
2316.30,78.48,10.50
2316.30,59.90,8.91
2343.13,79.31,9.68
2307.35,61.34,9.09
2325.24,75.35,10.71
2325.24,60.72,7.19
2289.47,69.62,8.24
2271.58,62.39,5.53
2316.30,69.90,7.26
2244.75,65.99,6.14
2262.64,61.72,7.24
2289.47,63.65,6.66
2289.47,61.56,5.25
2316.30,66.74,6.54
2325.24,67.38,5.36
2298.41,79.64,5.16
2298.41,74.76,3.65
2253.69,100.99,4.25
2271.58,97.00,2.19
2262.64,121.97,5.71
2316.30,114.52,1.73
2280.52,135.28,5.80
2271.58,127.10,0.80
2316.30,148.06,2.30
2262.64,123.21,1.45
2280.52,138.98,3.58
2280.52,110.21,-1.16
2226.86,120.58,0.23
2253.69,98.94,0.12
2298.41,111.45,1.87
2325.24,100.92,-2.26
2280.52,103.79,-0.89
2244.75,94.52,-0.55
2280.52,97.13,-1.57
2262.64,92.33,-0.53
2262.64,91.72,-0.66
2298.41,91.79,-2.39
2280.52,83.37,-1.99
2280.52,84.32,-1.43
2298.41,75.27,-1.99
2262.64,82.23,-2.08
2298.41,67.22,-5.29
2244.75,76.07,-1.98
2226.86,63.01,-5.21
2262.64,77.77,-3.36
2271.58,63.53,-3.36
2280.52,79.65,-2.87
2271.58,64.98,-6.70
2271.58,85.86,-1.35
2226.86,65.07,-5.58
2253.69,83.57,-5.41
2244.75,69.09,-6.40
2208.98,84.77,-3.19
2235.81,70.25,-6.33
2235.81,80.11,-3.51
2253.69,67.22,-6.13
2217.92,75.67,-4.14
2235.81,65.78,-6.04
2235.81,69.44,-6.16
2244.75,64.83,-6.30
2253.69,64.46,-6.71
2262.64,67.00,-5.24
2182.15,61.66,-7.10
2226.86,72.90,-5.86
2298.41,63.16,-9.59
2280.52,70.40,-8.41
2244.75,56.73,-9.76
2253.69,71.12,-8.75
2208.98,56.85,-10.58
2262.64,65.08,-9.41
2235.81,53.52,-12.50
2226.86,71.04,-9.89
2271.58,48.48,-11.86
2244.75,68.27,-7.95
2235.81,48.37,-11.55
2217.92,71.31,-8.65
2235.81,50.01,-11.55
2217.92,67.38,-8.73
2200.03,50.18,-11.16
2208.98,64.86,-8.59
2244.75,56.71,-12.32
2173.21,68.08,-10.24
2235.81,67.35,-9.87
2262.64,83.50,-10.76
2208.98,88.13,-10.76
2226.86,103.73,-10.95
2208.98,118.80,-9.67
2235.81,121.78,-10.09
2235.81,129.73,-7.40
2235.81,125.77,-9.95
2155.32,137.12,-8.30
2253.69,118.82,-11.16
2235.81,126.17,-6.51
2226.86,107.22,-10.73
2226.86,116.07,-7.57
2235.81,90.02,-10.58
2244.75,102.33,-8.59
2280.52,84.58,-12.57
2235.81,102.38,-9.08
2200.03,82.54,-12.94
2244.75,93.41,-9.12
2289.47,78.53,-10.79
2226.86,88.56,-9.87
2235.81,69.96,-11.06
2235.81,86.03,-9.86
2235.81,69.10,-12.33
2289.47,77.08,-9.49
2271.58,67.23,-11.63
2298.41,75.65,-10.62
2271.58,66.87,-10.60
2244.75,69.05,-10.36
2244.75,71.09,-10.28
2280.52,67.93,-11.31
2289.47,73.35,-11.61
2271.58,70.36,-11.41
2298.41,79.28,-11.42
2262.64,66.49,-11.53
2289.47,83.69,-9.00
2280.52,68.40,-12.15
2262.64,78.87,-7.71
2271.58,67.00,-11.07
2307.35,80.63,-8.72
2307.35,58.87,-12.74
2262.64,78.75,-9.37
2316.30,60.45,-11.56
2307.35,77.33,-8.54
2352.07,59.01,-10.73
2325.24,75.35,-9.06
2396.79,61.00,-10.46
2361.01,71.92,-10.37
2361.01,57.97,-11.42
2334.18,67.82,-8.54
2343.13,64.79,-10.74
2334.18,67.24,-9.50
2343.13,63.22,-9.24
2352.07,65.71,-9.03
2352.07,66.82,-9.27
2387.84,63.34,-11.13
2387.84,67.99,-9.48
2352.07,57.99,-11.70
2369.96,70.36,-7.87
2361.01,61.70,-11.90
2387.84,68.53,-7.64
2378.90,55.64,-10.60
2396.79,70.04,-8.92
2423.62,52.24,-12.12
2423.62,72.99,-8.20
2414.67,57.47,-11.50
2378.90,78.91,-9.27
2396.79,67.74,-11.64
2450.45,95.79,-9.75
2423.62,89.70,-12.44
2504.10,117.61,-10.53
2486.22,114.75,-12.50
2486.22,136.10,-10.40
2441.50,125.67,-14.08
2495.16,134.88,-12.41
2486.22,126.77,-12.33
2441.50,122.79,-10.95
2486.22,119.03,-12.63
2495.16,111.88,-13.56
2477.28,108.58,-12.74
2495.16,99.25,-11.39
2539.88,105.21,-10.40
2495.16,95.13,-12.43
2539.88,103.88,-9.01
2539.88,86.27,-11.66
2504.10,100.74,-8.82
2548.82,83.98,-10.12
2513.05,95.19,-7.14
2530.93,79.16,-9.85
2575.65,93.46,-7.05
2495.16,74.14,-7.96
2566.71,88.81,-4.62
2530.93,63.64,-8.06
2539.88,81.05,-4.88
2566.71,64.37,-9.26
2548.82,88.06,-5.40
2557.76,73.58,-6.21
2629.31,83.87,-4.69
2593.54,75.50,-7.21
2620.37,83.70,-4.94
2656.14,75.54,-8.43
2566.71,80.16,-7.69
2629.31,82.43,-6.86
2709.80,77.84,-6.06
2629.31,77.16,-7.21
2647.20,73.54,-7.24
2665.08,80.06,-6.86
2674.03,70.28,-7.54
2647.20,76.32,-8.24
2656.14,67.12,-9.85
2665.08,78.24,-7.14
2682.97,64.23,-10.29
2656.14,82.57,-6.03
2718.74,64.67,-10.38
2727.69,79.44,-4.93
2718.74,63.47,-8.62
2718.74,76.17,-5.26
2674.03,62.26,-8.57
2682.97,80.21,-5.50
2763.46,59.47,-7.18
2709.80,75.67,-6.11
2718.74,61.08,-6.04
2790.29,72.17,-5.38
2727.69,58.61,-6.86
2736.63,70.56,-6.60
2799.23,61.05,-6.23
2799.23,67.47,-6.04
2754.52,59.87,-6.56
2727.69,62.99,-7.43
2799.23,68.45,-5.72
2781.34,64.84,-8.01
2826.06,77.02,-5.82
2808.17,77.84,-9.59
2826.06,92.23,-6.72
2781.34,93.30,-9.40
2817.12,114.76,-7.12
2817.12,118.01,-9.90
2826.06,137.38,-5.98
2826.06,127.80,-10.31
2835.00,140.15,-5.39
2826.06,121.83,-7.85
2826.06,135.33,-7.25
2879.72,113.77,-11.84
2808.17,126.42,-6.99
2790.29,100.68,-12.04
2817.12,114.96,-8.87
2808.17,95.70,-10.18
2835.00,111.83,-7.93
2888.66,94.99,-10.17
2835.00,103.29,-8.90
2870.78,93.10,-8.96
2861.83,97.45,-7.75
2906.55,88.93,-8.93
2861.83,92.65,-9.93
2879.72,83.43,-9.65
2843.95,80.06,-10.69
2843.95,78.01,-10.54
2888.66,73.82,-10.21
2888.66,87.11,-9.89
2879.72,70.24,-11.20
2933.38,80.58,-8.89
2870.78,68.24,-12.26
2942.32,83.42,-10.52
2870.78,68.72,-13.41
2870.78,89.05,-10.41
2951.27,74.72,-11.64
2897.61,88.56,-9.38
2924.44,72.73,-11.90
2870.78,86.11,-8.44
2897.61,71.71,-10.77
2915.49,86.10,-8.61
2951.27,65.73,-11.75
2906.55,78.12,-9.24
2924.44,69.64,-10.73
2897.61,74.13,-7.83
2897.61,71.69,-10.53
2951.27,69.75,-8.65
2924.44,72.16,-8.71
2924.44,71.44,-7.96
2906.55,73.33,-8.15
2951.27,70.25,-8.43
2969.15,74.61,-6.53
2960.21,64.06,-9.01
2915.49,73.40,-5.79
2933.38,66.53,-6.91
2978.10,74.71,-4.35
2951.27,60.32,-7.15
2915.49,72.94,-6.26
2942.32,55.07,-7.54
2933.38,75.44,-4.07
2951.27,58.75,-8.53
2924.44,71.91,-6.50
2969.15,53.38,-7.79
2978.10,73.18,-4.07
3022.81,55.97,-8.06
2951.27,70.84,-5.27
2969.15,55.81,-8.39
2906.55,79.44,-7.31
2995.98,75.22,-9.19
2969.15,92.99,-5.79
2978.10,101.97,-6.90
2978.10,111.00,-6.32
2987.04,120.82,-8.00
2969.15,130.08,-6.63
2987.04,134.70,-6.26
2906.55,133.23,-8.85
2906.55,132.90,-6.64
2942.32,120.84,-9.62
2951.27,125.22,-6.17
2906.55,109.64,-9.41
2978.10,118.52,-6.05
2897.61,96.62,-9.74
2951.27,111.55,-7.20
2960.21,92.28,-8.75
2969.15,106.99,-5.64
2969.15,86.53,-9.23
2942.32,102.68,-5.99
2933.38,84.30,-9.81
2933.38,92.54,-7.08
2978.10,75.46,-10.25
2951.27,90.58,-6.94
2978.10,73.09,-9.86
2951.27,82.52,-7.47
2951.27,64.99,-10.11
2978.10,78.42,-9.80
2978.10,68.31,-10.15
2969.15,72.13,-9.82
2942.32,68.34,-7.83
2987.04,72.10,-9.81
2951.27,73.79,-8.90
2933.38,69.24,-10.06
2951.27,81.17,-8.11
2951.27,67.77,-10.40
2969.15,77.63,-7.60
2960.21,67.80,-11.63
2995.98,76.21,-9.42
2951.27,62.29,-11.17
2942.32,79.24,-8.22
2960.21,60.92,-10.66
